Labels	Ex521-Sample-5-Group-A	
Type	Excitation Scan	
Comment		
Start	210.00	
Stop	510.00	
Step	1.00	
Fixed/Offset	521.00	
Xaxis	Wavelength	
Yaxis	Counts	
Scan Corr. by File	False	
Corr. by Ref. Det.	True	
Fixed/Offset Corr. by File	True	
Repeats	2	
Dwell Time	0.50	
Lamp	Xenon	
Temp	68.150	
Scan Polariser	None	
Scan Slit	0.99998826	
Fixed/Offset Polariser	None	
Fixed/Offset Slit	0.19999765	
Detector	Visible PMT	

479.00	8.06314750E+5	
480.00	7.62092000E+5	
481.00	7.41428000E+5	
482.00	6.98231875E+5	
483.00	6.68185000E+5	
484.00	6.30064500E+5	
485.00	6.00056438E+5	
486.00	5.64051375E+5	
487.00	5.20995625E+5	
488.00	4.93560938E+5	
489.00	4.68017313E+5	
490.00	4.36087219E+5	
491.00	4.04566813E+5	
492.00	3.80660188E+5	
493.00	3.51697688E+5	
494.00	3.26610313E+5	
495.00	2.93824500E+5	
496.00	2.73968625E+5	
497.00	2.52442750E+5	
498.00	2.24195188E+5	
499.00	2.08973750E+5	
500.00	1.88533406E+5	
501.00	1.73450938E+5	
502.00	1.55273922E+5	
503.00	1.41765516E+5	
504.00	1.23863547E+5	
505.00	1.16452875E+5	
506.00	1.03162680E+5	
507.00	8.93726563E+4	
508.00	8.30697969E+4	
509.00	7.01921250E+4	
510.00	6.48573750E+4	
